codigo_vaga,ultimo_salario_candidato,nivel_candidato,formacao_candidato,cidade_candidato,nivel_ingles_candidato,nivel_espanhol_candidato,mediana_teste_logica_candidato,mediana_teste_outros_candidato,cargo_vaga,nivel_vaga,formacao_vaga,aprovado_vaga
1,1,1,3,6,2.0,1.0,6.25,7.0,0,0,1,0
1,2,1,2,0,4.0,1.0,7.989999771118164,8.199999809265137,0,0,1,0
1,3,2,2,0,2.0,0.0,5.329999923706055,5.400000095367432,0,0,1,0
1,1,1,2,0,3.0,0.0,7.989999771118164,6.25,0,0,1,0
1,2,4,3,0,3.0,4.0,6.650000095367432,7.0,0,0,1,0
1,4,1,2,0,3.0,0.0,5.0,6.0,0,0,1,0
1,2,4,3,1,2.0,0.0,5.989999771118164,2.850000023841858,0,0,1,0
1,2,2,3,0,3.0,1.0,7.835000038146973,4.900000095367432,0,0,1,0
1,4,3,3,0,4.0,1.0,8.049999952316284,7.599999904632568,0,0,1,0
1,1,2,2,0,0.0,0.0,0.0,3.0999999046325684,0,0,1,0
1,2,2,2,0,3.0,1.0,5.654999732971191,8.199999809265137,0,0,1,0
1,2,1,3,0,1.0,0.0,5.0,5.5,0,0,1,0
1,1,1,3,7,4.0,1.0,8.65999984741211,4.0,0,0,1,0
1,1,5,2,4,4.0,1.0,1.0494999885559082,1.1950000047683715,0,0,1,0
1,4,5,2,1,4.0,3.0,8.65999984741211,8.199999809265137,0,0,1,0
1,1,1,3,0,3.0,1.0,6.659999847412109,7.200000047683716,0,0,1,0
1,1,1,2,0,1.0,4.0,6.659999847412109,4.0,0,0,1,0
1,1,2,2,0,4.0,0.0,8.289999961853027,8.0,0,0,1,0
1,1,3,2,6,3.0,2.0,6.0,7.599999904632568,0,0,1,0
1,1,1,3,0,2.0,1.0,5.989999771118164,6.299999952316284,0,0,1,1
1,2,2,3,0,4.0,0.0,7.329999923706055,8.099999904632568,0,0,1,0
1,4,1,2,6,4.0,2.0,6.599999904632568,6.335000038146973,0,0,1,0
1,1,3,2,0,4.0,1.0,6.659999847412109,6.199999809265137,0,0,1,0
1,1,9,2,0,4.0,4.0,8.0,10.0,0,0,1,0
1,1,3,2,11,4.0,1.0,8.0,5.300000190734863,0,0,1,0
1,1,1,2,10,4.0,2.0,6.505000114440918,10.0,0,0,1,0
1,3,1,2,3,3.0,0.0,7.320000171661377,7.5,0,0,1,0
1,4,3,3,4,3.0,1.0,0.0,5.400000095367432,0,0,1,0
1,3,8,2,1,4.0,2.0,6.829999923706055,8.0,0,0,1,0
1,5,3,2,0,3.0,1.0,9.0,6.349999904632568,0,0,1,0
1,1,2,2,0,3.0,0.0,5.5,6.549999952316284,0,0,1,0
1,1,3,2,8,4.0,2.0,5.320000171661377,5.0,0,0,1,0
1,1,2,2,0,3.0,0.0,7.320000171661377,7.5,0,0,1,0
1,1,4,3,1,4.0,1.0,7.989999771118164,6.849999904632568,0,0,1,0
1,3,1,2,0,3.0,0.0,7.989999771118164,6.699999809265137,0,0,1,0
1,1,3,2,3,4.0,2.0,6.799999952316284,7.75,0,0,1,0
1,2,2,2,3,4.0,3.0,4.0,3.200000047683716,0,0,1,1
1,1,1,2,16,4.0,0.0,7.989999771118164,9.0,0,0,1,0
1,1,1,2,0,3.0,1.0,3.990000009536743,4.399999976158142,0,0,1,0
1,1,2,2,0,3.0,1.0,7.25,7.5,0,0,1,0
1,2,2,2,0,4.0,0.0,8.25,9.199999809265137,0,0,1,0
1,3,1,2,0,4.0,3.0,10.0,7.0,0,0,1,0
1,1,2,2,4,3.0,1.0,7.329999923706055,8.25,0,0,1,0
1,4,3,2,0,4.0,3.0,5.994999885559082,6.0,0,0,1,1
1,1,4,2,0,4.0,2.0,4.833100080490112,5.224999904632568,0,0,1,0
1,1,2,2,9,2.0,1.0,8.680000305175781,8.900000095367432,0,0,1,0
1,4,3,2,0,4.0,1.0,7.329999923706055,3.3000000715255737,0,0,1,0
1,5,7,3,0,4.0,1.0,8.497499942779541,5.700000047683716,0,0,1,0
1,1,1,2,0,4.0,2.0,5.320000171661377,6.1000001430511475,0,0,1,0
1,2,4,2,0,1.0,0.0,7.340000152587891,2.0,0,0,1,0
1,5,1,2,3,4.0,3.0,7.599999904632568,7.199999809265137,0,0,1,0
1,2,4,3,0,3.0,0.0,7.0,9.25,0,0,1,0
1,1,2,2,5,3.0,1.0,6.5,4.900000095367432,0,0,1,0
1,4,1,2,0,3.0,1.0,8.670000076293945,8.199999809265137,0,0,1,0
1,1,1,2,5,3.0,0.0,7.210000038146973,5.75,0,0,1,0
1,2,4,2,0,3.0,1.0,4.659999847412109,4.599999904632568,0,0,1,0
1,1,2,2,0,4.0,2.0,6.010000228881836,8.099999904632568,0,0,1,0
1,2,2,2,0,4.0,3.0,8.65999984741211,7.349999904632568,0,0,1,0
1,4,5,2,0,3.0,2.0,6.010000228881836,6.0,0,0,1,0
1,4,1,2,0,4.0,2.0,8.670000076293945,7.0,0,0,1,0
1,5,7,3,4,4.0,0.0,7.0,7.700000047683716,0,0,1,0
1,2,3,3,0,0.0,0.0,6.0,5.699999809265137,0,0,1,0
1,1,2,2,5,3.0,2.0,7.329999923706055,6.400000095367432,0,0,1,0
1,1,2,2,4,3.0,0.0,7.999199867248535,5.5,0,0,1,0
1,1,1,2,0,1.0,0.0,7.329999923706055,5.199999809265137,0,0,1,0
1,3,1,2,0,3.0,2.0,7.549999952316284,8.875,0,0,1,0
1,5,3,2,0,4.0,1.0,7.920000076293945,7.599999904632568,0,0,1,0
1,1,2,2,0,3.0,1.0,9.34000015258789,7.75,0,0,1,0
1,1,6,2,0,4.0,1.0,5.320000171661377,7.099999904632568,0,0,1,0
1,1,3,2,0,4.0,2.0,5.2200000286102295,7.25,0,0,1,0
1,5,1,2,3,4.0,0.0,7.989999771118164,6.0,0,0,1,0
1,1,1,2,0,4.0,2.0,8.0,5.800000190734863,0,0,1,0
1,1,2,2,0,4.0,2.0,4.0,3.9000000953674316,0,0,1,0
1,1,5,2,0,4.0,0.0,6.659999847412109,7.199999809265137,0,0,1,0
1,1,1,2,0,4.0,0.0,5.805000066757202,5.099999904632568,0,0,1,0
1,2,5,2,1,3.0,1.0,7.320000171661377,8.0,0,0,1,0
1,2,4,2,0,4.0,4.0,3.6,3.649999976158142,0,0,1,1
1,1,1,2,3,4.0,3.0,8.0,6.25,0,0,1,0
1,4,3,2,3,4.0,2.0,4.650000095367432,7.299999952316284,0,0,1,0
1,2,2,2,0,3.0,0.0,6.650000095367432,7.700000047683716,0,0,1,0
1,2,6,2,1,3.0,0.0,0.0,5.900000095367432,0,0,1,0
1,3,1,2,0,3.0,0.0,5.8450000286102295,4.599999904632568,0,0,1,0
1,1,2,2,0,4.0,1.0,7.320000171661377,7.224999904632568,0,0,1,0
1,4,1,2,0,3.0,4.0,6.659999847412109,7.799999952316284,0,0,1,0
1,1,2,2,0,4.0,2.0,8.0,6.400000095367432,0,0,1,0
1,1,4,3,0,3.0,1.0,7.0,4.25,0,0,1,0
1,4,2,2,0,3.0,2.0,8.0,9.099999904632568,0,0,1,0
1,5,1,2,0,3.0,1.0,8.0,8.599999904632568,0,0,1,0
1,3,1,2,0,3.0,0.0,6.0,6.099999904632568,0,0,1,0
1,3,1,2,0,4.0,1.0,6.0,4.0,0,0,1,0
1,5,5,3,0,3.0,1.0,6.5,5.549999952316284,0,0,1,0
1,4,4,2,0,3.0,1.0,4.5,8.0,0,0,1,0
1,4,3,2,0,3.0,1.0,4.167500019073486,5.400000095367432,0,0,1,0
1,4,1,2,0,4.0,1.0,6.200000047683716,7.700000047683716,0,0,1,0
1,1,9,2,0,4.0,1.0,8.0,8.399999618530273,0,0,1,0
1,4,3,2,0,3.0,0.0,4.0,3.25,0,0,1,0
